key,title,year,authors,RAYYAN-LABELS,status,population,exposure,control,outcome,Search,study location,system,remarks
rayyan-939273942,Exploration forays in juvenile European hares (Lepus europaeus): Dispersal preludes or hunting-induced troubles?,2014,"Avril, A and Letty, J and Léonard, Y and Pontier, D",data,Included,European hare,hunting risk,-,exploration forays,,France,,
rayyan-939273981,Habitat selection in a recovering bobcat (Lynx rufus) population,2022,"Jones, LR and Johnson, SA and Hudson, CM and Zollner, PA and Swihart, RK",applied,Included,bobcats  ,human activity,-,habitat use,,,,
rayyan-939273982,Playbacks of predator vocalizations reduce crop damage by ungulates,2022,"Widén, A and Clinchy, M and Felton, AM and Hofmeester, TR and Kuijper, DPJ and Singh, NJ and Widemo, F and Zanette, LY and Cromsigt, JPGM",data,Included,ungulates,"wolf, dog, human playback","owl, goose, raven playback","space use, crop damage",,southern Sweden,,not sure if they distinguish between non human and human predator playback
rayyan-939273987,Land uses on the Botswana/Zimbabwe border and their effects on buffalo,1996,"Hunter, CG",data,Included,African buffalo,human predation levels,lion predation risk,"space use, habitat selection, movement foraging",,Botswana/Zimbabwe border,,
rayyan-939273993,The impact of human disturbance on birds: A selective review,2008,"Price, M ",review,Included,,,,,,,,
rayyan-939274017,"Risk perception and terrestriality in primates: A quasi-experiment through habituation of chacma baboons (Papio ursinus) in Gorongosa National Park, Mozambique",2022,"Hammond, P and Lewis-Bevan, L and Biro, D and Carvalho, S",data,Included,chacma baboons,human observer,-,vigilance and vocalizations,,"Gorongosa National Perk, Mozambique",,
rayyan-939274025,Fishing indirectly structures macroalgal assemblages by altering herbivore behavior,2010,"Madin, EMP and Gaines, SD and Madin, JS and Warner, RR",data,Included,marine herbivores,fishing,-,foraging?,,,,
rayyan-939274123,Large carnivore impacts are context-dependent,2017,"Haswell, PM and Kusak, J and Hayward, MW",review,Included,,,,,,,,
rayyan-939274125,Habitat selection by wolves and mountain lions during summer in western Montana,2021,"Peterson, CJ and Mitchell, MS and DeCesare, NJ and Bishop, CJ and Sells, SS",data,Included,"wolves, mountain lions",human proximity,-,habitat selection ,,,,"human aspect of exposure unclear ""chance of encountering humans"""
rayyan-939274144,Are birds more afraid in urban parks or cemeteries? A Latin American study contrasts with results from Europe,2023,"Morelli, F and Leveau, LM and Mikula, P and MacGregor-Fors, I and Bocelli, ML and Quesada-Acuña, SG and González-Lagos, C and Gutiérrez-Tapia, P and Dri, GF and Delgado-V., CA and Zavala, AG and Campos, J and Ortega-Álvarez, R and Contreras-Rodríguez, AI and López, DS and Toledo, MCB and Sarquis, A and Giraudo, A and Echevarria, AL and Fanjul, ME and Martínez, MV and Haedo, J and Sanz, LGC and Dominguez, YAP and Fernandez, V and Marinero, V and Abilhoa, V and Amorin, R and Fontana, CS and da Silva, TW and Vargas, SSZ and Escobar Ibañez, JF and Juri, MD and Camín, SR and Marone, L and Piratelli, AJ and Franchin, AG and Crispim, L and Benitez, J and Benedetti, Y",data,Included,birds,approaching human,-,flight intiation distance,,Latin America and Europe,,
rayyan-939274199,To forage or flee: lessons from an elk migration near a protected area,2019,"Mikle, NL and Graves, TA and Olexa, EM",data,Included,elk,archery hunting season,protected area,"foraging, migration",,,,
rayyan-939274297,Oceanic Diel Vertical Movement Patterns of Blue Sharks Vary With Water Temperature and Productivity to Change Vulnerability to Fishing,2021,"Vedor, M and Mucientes, G and Hernández-Chan, S and Rosa, R and Humphries, N and Sims, DW and Queiroz, N",data,Included,Blue sharks,longline fisheries,-,diel vertical movements,,,,
rayyan-939274338,Wolf Responses to Experimental Human Approaches Using High-Resolution Positioning Data,2022,"Versluijs, E and Eriksen, A and Fuchs, B and Wikenros, C and Sand, H and Wabakken, P and Zimmermann, B",data,Included,wolves,approaching human,-,"antipredator response, flight initiation distance",,,,doesn’t talk about foraging at all except in the first sentence of intro
rayyan-939280174,Pedestrian density influences flight distances of urban birds,2014,"Mikula, P  ",data,Included,20 bird species,approaching human,-,flight intiation distance,,Prague,,
rayyan-939284355,"Effects of human disturbance on spatial and temporal feeding patterns of Blackbird Turdus merula in urban parks in Madrid, Spain",2000,"Fernandez-Juricic, E and Telleria, JL",data,Included,Blackbird,human disturbance,-,"feeding patterns, flushing response, vigilance",,"Madrid, Spain",,
rayyan-939276703,Evaluating Indirect Effects of Hunting on Mule Deer Spatial Behavior,2020,"Brown, CL and Smith, JB and Wisdom, MJ and Rowland, MM and Spitz, DB and Clark, DA",data,Included,mule deer,hunting period ,pre-hunt and post-hunt period,"habitat selection, movement patterns",,"northeastern Oregan, USA",,
rayyan-939281385,Defining separation zones for coastal birds at a wetland of global importance,2021,"Reynolds, C and Henry, DAW and Tye, DRC and Tye, ND",data,Included,15 coastal bird species,approaching human,-,flight intiation distance,,"West Coast National Park, South Africa",,
rayyan-939281215,"Variability in the area, energy and time costs of wintering waders responding to disturbance",2016,"Collop, C and Stillman, RA and Garbutt, A and Yates, MG and Rispin, E and Yates, T",data,Included,"Curlew Numenius arquata, Oystercatcher Haematopus ostralegus, Bar-tailed Godwit Limosa lapponica, Grey Plover Pluvialis squatarola, Redshank Tringa totanus, Knot Calidris canutus, Turnstone Arenaria interpres, Ringed Plover Charadrius hiaticula, Sanderling Calidris alba and Dunlin Calidris alpina",approaching human,-,"FID, alert time, time spent in flight, time taken to resume feeding, and total feeding time lost",,"Wash Embayment, UK",,
rayyan-939277561,Small Prey Animal Foraging Behaviors in Landscapes of Fear: Effects of Predator Presence and Human Activity Along an Urban Disturbance Gradient,2022,"Fardell, LL and Nano, CEM and Pavey, CR and Dickman, CR",data,Included,"the common brushtail possum (Trichosurus vulpecula), northern brown bandicoot (Isoodon macrourus), brown antechinus (Antechinus stuartii), black rat (Rattus rattus), and brown rat (Rattus norvegicus), and to a lesser degree several species of native birds",human disturbance gradient,red fox predator cues,giving-up densities,,,,
rayyan-939283626,Increased mammal nocturnality in agricultural landscapes results in fragmentation due to cascading effects,2018,"Shamoon, H and Maor, R and Saltz, D and Dayan, T",data,Included,5 mammal species,human disturbance gradient,-,"diel activity patterns, habitat use",,,,
rayyan-939275309,Individual and population level resource selection patterns of mountain lions preying on mule deer along an urban-wildland gradient,2016,"Benson, JF and Sikich, JA and Riley, SPD",data,Included,mountain lions,urban-wildlife gradient,-,habitat use,,greater Los Angeles,,
rayyan-939284591,Seasonal variation of flight initiation distance in Eurasian red squirrels in urban versus rural habitat,2016,"Uchida, K and Suzuki, K and Shimamoto, T and Yanagawa, H and Koizumi, I",data,Included,Eurasian red squirrel,urban,rural,FID,,"Tokachi region, Hokkaido, Japan",,
rayyan-939274750,Fear in urban landscapes: Conspecific flock size drives escape decisions in tropical birds,2022,"Ardila-Villamizar, M and Alarcón-Nieto, G and Maldonado-Chaparro, AA",data,Included,15 bird species,approaching human ?,-,FID,,Bogota Columbia,,
rayyan-939285219,Minimizing disturbance to wildlife by tourists approaching on foot or in a car: A study of kangaroos in the Australian rangelands,2010,"Wolf, ID and Croft, DB",data,Included,Euro and Red Kangaroo,approacing human,-,"FID, flight response",,,,
rayyan-939283612,California's Endangered Belding's Savannah Sparrow (Passerculus sandwichensis beldingi): Tolerance of Pedestrian Disturbance,2009," Fernandez-Juricic, E and Zahn, EF and Parker, T and Stankowich, T",data,Included,Belding's Savannah Sparrow ,approaching human,-,FID,,,,
rayyan-939281152,Impact of tourism on Nubian Ibex (Capra nubiana) revealed through assessment of behavioral indicators,2012,"Tadesse, SA and Kotler, BP",data,Included,Nubian Ibex,human activity,-,"giving up density, vigilance  ",,"En Avdat National Park, Israel",,
rayyan-939280392,Reactions of a colonial seabird species to controlled gunshot disturbance experiments,2021,"Labansen, AL and Merkel, F and Mosbech, A",data,Included,thick-billed murre,gunshot disturbance,-,FID,,,,
rayyan-939276715,Linking Elk Movement and Resource Selection to Hunting Pressure in a Heterogeneous Landscape,2012,"Cleveland, SM and Hebblewhite, M and Thompson, M and Henderson, R",data,Included,Elk,hunting pressure,-,"movement patterns, resource selection",,,,
rayyan-939278529,The influence of habitat use on harvest vulnerability of cow elk (Cervus canadensis),2020,"Sergeyev, M and McMillan, BR and Hersey, KR and Larsen, RT",data,Included,elk,hunting season,-,resource selection,,,,
rayyan-939283096,Disturbance does not have a significant impact on waders in an estuary close to conurbations: importance of overlap between birds and people in time and space,2020,"Goss-Custard, JD and Hoppe, CH and Hood, MJ and Stillman, RA",data,Included,waders Charadrii,human disturbance,-,"space use, flight behaviour",,,,
rayyan-939282160,Change in flight initiation distance between urban and rural habitats following a cold winter,2013,"Moller, AP and Grim, T and Ibanez-Alamo, JD and Marko, G and Tryjanowski, P",data,Included,207 bird species,approaching human,-,FID,,,,
rayyan-939283569,"Vigilance and Activity Time-Budget Adjustments of Wintering Hooded Cranes, Grus monacha, in Human-Dominated Foraging Habitats",2015,"Li, CL and Zhou, LZ and Xu, L and Zhao, NN and Beauchamp, G",data,Included,hooded crane,human disturbance,-,"activity time budget, vigilance",,"Shengjin Lake National Nature Reserve (NNR), China",,
rayyan-939280901,Individual variation in tolerance of human activity by urban Dark-eyed Juncos (Junco hyemalis),2022,"Stansell, HM and Blumstein, DT and Yeh, PJ and Nonacs, P",data,Included,dark-eyed juncos,approaching human,-,"FID, distance fled",,Southern California,,
rayyan-939274598,Spatial characteristics of residential development shift large carnivore prey habits,2016,"Smith, JA and Wang, Y and Wilmers, CC",data,Included,puma,proximity to human settlements,-,foraging behaviour,,,,
rayyan-939278586,A landscape of coexistence for a large predator in a human dominated landscape,2017,"Gehr, B and Hofer, EJ and Muff, S and Ryser, A and Vimercati, E and Vogt, K and Keller, LF",data,Included,Eurasian lynx,human disturbance,-,"space use, diel activity patterns,",,,,
rayyan-939277063,Flight behavior of targeted fishes depends on variables other than fishing,2019,"Stamoulis, KA and Harvey, ES and Friedlander, AM and Williams, ID and Weng, KC and Wiggins, C and Wagner, GW and Conklin, EJ",data,Included,targetted reef fish,diver presence,-,"FID, starting distance",,,,
rayyan-939278033,"How does human exploitation affect impala populations in protected and partially protected areas? - A case study from the Serengeti Ecosystem, Tanzania",2007,"Setsaas, TH and Holmern, T and Mwakalebe, G and Stokke, S and Roskaft, E",data,Included,impala ,strictly protected area,outside strictly protected area,"behaviour, density, demography",,Tanzania,Serengeti,
rayyan-939282243,Temporal overlap of human and apex predator activity on wildlife trails and forest roads,2022,"Blaskovic, S and Gomercic, T and Toplicanec, I and Sindicic, M",data,Included,"Eurasian lynx, grey wolf, brown bear",human activity,-,diel activity patterns,,Croatian part of the Dinaric mountains,,
rayyan-939276835,Sex-Specific Behaviors of Hunted Mule Deer During Rifle Season,2021,"Rodgers, PA and Sawyer, H and Mong, TW and Stephens, S and Kauffman, MJ",data,Included,mule deer,hunting disturbance ,-,"migration, habitat selection",,south-central Wyoming USA,,
rayyan-939278111,Low levels of outdoor recreation alter wildlife behaviour,2022,"Sytsma, MLT and Lewis, T and Gardner, B and Prugh, LR",data,Included,"brown bears, black bears, moose, wolves",human activity,-,"activity patterns, space use",,"Glacier Bay National Park, Alaska",,
rayyan-939280555,The effects of poaching and habitat structure on anti-predator behavioral strategies: A guanaco population in a high cold desert as case study,2017,"Cappa, F and Campos, V and Giannoni, S and Andino, N",data,Included,guanaco,unprotected area (with poaching),protected area,"FID, group size",,"San Juan, Argentina",high cold desert,
rayyan-939274964,Behavioural correlations across multiple stages of the antipredator response: do animals that escape sooner hide longer?,2022,"Ortiz-Jimenez, CA and Michelangeli, M and Pendleton, E and Sih, A and Smith, JE",data,Included,California ground squirrels,human activity,-,"FIDs, latencies to resume activity and other post-FID aspects of prey responses",,,,
rayyan-939275786,Occurrence and Behaviour of Shorebirds Depend on Food Availability and Distance of Beaches from Urban Settlements,2021,"Rangel, DF and Nobre Da Silva, EF and Costa, LL",data,Included,"Sanderling, collared plover",approaching human,-,minimum approach distance,,South America,coastal,
rayyan-939277799,Little Evidence to Support the Risk-Disturbance Hypothesis as an Explanation for Responses to Anthropogenic Noise by Pygmy Marmosets (Cebuella niveiventris) at a Tourism site in the Peruvian Amazon,2022,"Hawkins, E and Papworth, S",data,Included,pygmy marmoset,human speech and motorboat playback,avian predator and cicada playbacks,behavioural response,,,,
rayyan-939277043,Impacts of tourism and hunting on a large herbivore's spatio-temporal behavior in and around a French protected area,2014,"Marchand, P and Garel, M and Bourgoin, G and Dubray, D and Maillard, D and Loison, A",data,Included,Mediterranean mouflon ,high tourism or hunting pressure,low tourism or hunting pressure,"movement, habitat use and daily activity",,Caroux-Espinouse massif (southern France),,
rayyan-939283770,Gender- and age-class-specific reactions to human disturbance in a sexually dimorphic ungulate,2005,"Loehr, J and Kovanen, M and Carey, J and Hogmander, H and Jurasz, C and Karkkainen, S and Suhonen, J and Ylonen, H",data,Included,thinhorn sheep,approaching human,-,behavioural response,,"Faro, Yukon Territory, Canada",,
rayyan-939284426,Effects of foraging mode and group pattern on vigilance behavior in water birds: a case study of mallard and black-winged stilt,2011,"Li, CL and Zhou, LZ and Li, HK and Jiang, ZG",data,Included,mallard and black-winged stilt,approaching human observer,-,"time spent vigilant, vigilance frequency, average duration of vigilance, alert distance and flee distance",,"Hengshui Lake National Nature Reserve, China",,
rayyan-939280436,"Hares, humans, and lynx activity rhythms: who avoids whom?",2021,"Naderi, M and Kusak, J and Bojarska, K and Chynoweth, M and Green, A and Sekercioglu, CH",data,Included,"Caucasian lynx, European hare",human presence,-,circadian activity patters,,northeastern Turkey,,
rayyan-939276705,Landscape attributes explain migratory caribou vulnerability to sport hunting,2017,"Plante, S and Dussault, C and Cote, SD",data,Included,caribou,hunting,-,habitat selection,,"northern Quebec, Canada",,similar to rayyan-811287964
rayyan-939284211,Predictors of vigilance for American Crows foraging in an urban environment,1997,"Ward, C and Low, BS",data,Included,American Crows,high human disturbance areas,low human disturbance areas ,"vigilance, foraging",,,,
rayyan-939275676,Human activity helps prey win the predator-prey space race,2011,"Muhly, TB and Semeniuk, C and Massolo, A and Hickman, L and Musiani, M",data,Included,large mammal species,human presence,-,space use,,southwest Alberta Canada,,
rayyan-939282841,"TOLERANCE TO DISTURBANCE REGULATED BY ATTRACTIVENESS OF RESOURCES: A CASE STUDY OF DESERT BIGHORN SHEEP WITHIN THE RIVER MOUNTAINS, NEVADA",2017,"Lowrey, C and Longshore, KM",data,Included,bighorn sheep,human disturbance,-,habitat selection,,"The River Mountains, Nevada",,
rayyan-939280598,"Seasonal differences in escape behaviour in the urban hooded crow, Corvus cornix",2022,"Novcic, I and Paraca, V",data,Included,hooded crow,approaching human,-,"FID, distance fled, escape method",,"Belgrade, Serbia",,
rayyan-939277336,Protected areas preserve natural behaviour of a targeted fish species on coral reefs,2016,"Bergseth, BJ and Williamson, DH and Frisch, AJ and Russ, GR",data,Included,coral trout,fished,"no take, no entry zone","flight-initiation distance, pre-flight behaviour, and escape trajectories",,"Great Barrier Reef Marine Park, Australia",coral reef,
rayyan-939275498,Flight initiation distance is differentially sensitive to the costs of staying and leaving food patches in a small-mammal prey,2009,"Lagos, PA and Meier, A and Tolhuysen, LO and Castro, RA and Bozinovic, F and Ebensperger, LA",data,Included,Octodon degus,approaching human,-,fleeing behaviour which foraging,,,,
rayyan-939277530,White rhinos and other herbivores decrease visitations and increase vigilance in response to human vocalizations,2022,"Nhleko, ZN and Shrader, AM and Ferreira, SM and McCleery, RA",data,Included,white rhino,human playback,bird vocalization playback,"visitation rates, vigilance",,,,
rayyan-939284181,Top-down and bottom-up forces explain patch utilization by two deer species and forest recruitment,2023,"Ramirez, JI and Poorter, L and Jansen, PA and den Ouden, J and Siewert, M and Olofsson, J",data,Included,2 deer species,"hunting, distance to village, forest edge",-,patch utilization,,Netherlands,temperate forest,
rayyan-939280817,Recreational activities affect resting site selection and foraging time of Eurasian lynx (Lynx lynx),2018,"Belotti, E and Mayer, K and Kreisinger, J and Heurich, M and Bufka, L",data,Included,Eurasian lynx,human presence (recreational activity),-,"feeding behaviour, resting site selection",,,Bohemian Forest ecosystem,
rayyan-939276845,A meta-analysis of fish behavioural reaction to underwater human presence,2019," Samia, DSM and Bessa, E and Blumstein, DT and Nunes, JACC and Azzurro, E and Morroni, L and Sbragaglia, V and Januchowski-Hartley, FA and Geffroy, B",meta-analysis,Included,,,,,,,,
rayyan-939276930,Limited influence of hunting on the activity patterns and habitat use of Pampas fox (Lycalopex gymnocercus) in agroecosystems of central Argentina,2021,"Santo Domingo, AD and Caruso, NC and Guerisoli, MD and Lucherini, M and Vidal, EML",data,Included,Pampas fox,hunting season,nonhunting season,"habitat use, activity patterns",,central Argentina,,
rayyan-939281924,Foraging behaviour of the Common Myna (Acridotheres tristis) in relation to vigilance and group size,2007,"Newey, P",data,Included,common mynah,human disturbance,-,"foraging behaviour, vigilance",,,,
rayyan-939283745,Field guarding as a crop protection method: preliminary implications for improving field guarding,2020,"Findlay, LJ and Hill, RA",data,Included,chacma baboons and vervet monkeys,field guards,-,foraging patterns in commercial field,,Blouberg District of South Africa,,
rayyan-939275107,Behaviour of domestic ducks exposed to mobile predator stimuli. 1. Flock responses,2001,"Henderson, JV and Nicol, CJ and Lines, JA and White, RP and Wathes, CM",data,Included,ducks,walking human and a small mobile vehicle,-,latencies for cessation and resumption of feeding,,,,
rayyan-939283985,"Influence of Trammel Nets on the Behaviour and Spatial Distribution of Bottlenose Dolphins (Tursiops truncatus) in the Aeolian Archipelago, Southern Italy",2015,"Blasi, MF and Giuliani, A and Boitani, L",data,Included,bottlenose dolphins,trammel net fishing,-,"space use, activity patterns",,"Aeolian Archipelago, Southern Italy",,
rayyan-939282153,Responses of foraging Eurasian beavers Castor fiber to predator odours,2000,"Rosell, F and Czech, A",data,Included,Eurasian beaver,human odor,"natural predator odor (red fox, river otter , lynx , wolf and brown bear)",foraging,,,,
rayyan-939284261,Behavioral response of brown meagre (Sciaena umbra) to boat noise,2016,"La Manna, G and Manghi, M and Perretti, F and Sara, G;",data,Included,brown meagre,boat noises,-,flight and hiding behaviour,,,,
rayyan-939276489,Flight initiation distance and escape behavior in the black redstart (Phoenicurus ochruros),2019,"Kalb, N and Anger, F and Randler, C",data,Included,black redstart,approacing human,-,flight initiation distance,,,,
rayyan-939281732,Foraging behavior of three Tasmanian macropodid marsupials in response to present and historical predation threat,2003,"Blumstein, DT and Daniel, JC",data,Included,"Forester Kangaroo, Bennett's wallabies and Tasmanian pademelons ",human presence,-,foraging and vigilance behaviour,,,,
rayyan-939276532,Reaction of harbor seals to cruise ships,2010,"Jansen, JK and Boveng, PL and Dahle, SP and Bengtson, JL",data,Included,harbor seals,ship  ,-,flushing distances,,Alaska USA,tidewater glacial fjords,
rayyan-939276306,Diving behavior in a Neotropical spider (Trechalea extensa) as a potential antipredator tactic,2022,"Swierk, L and Petrula, M and Esquete, P",data,Included,spider,pursuit by human,-,diving behaviour,,,,
rayyan-939285603,Flight Initiation Distance and Starting Distance: Biological Effect or Mathematical Artefact?,2012,"Dumont, F and Pasquaretta, C and Reale, D and Bogliani, G and von Hardenberg, A",data,Included,Alpine marmott,approaching walker,-,"flight intiation distance, starting distance, alert distance",,,,
rayyan-939281360,Influence of Human Exposure on the Anti-Predator Response of Harbor Seals (Phoca vitulina),2017,"Olson, JK and Acevedo-Gutierrez, A",data,maybe,,,,,,,,
rayyan-939277877,Low spatial overlap between foraging shearwaters during the breeding season and industrial fisheries off the west coast of Portugal,2021,"Pereira, JM and Ramos, JA and Marques, AM and Ceia, FR and Kruger, L and Votier, SC and Paiva, VH",data,Included,Cory's shearwaters,industrial fishery,-,foraging area,,,,
rayyan-939277056,Predicting the spatial distribution of hunted and non-hunted Sable antelope (Hippotragus niger niger) using remotely sensed woody cover in a Southern African savanna,2014,"Ndaimani, H and Murwira, A and Kativu, S",applied,Included,sable antelope,hunted area,non-hunted area,habitat selection,,northwestern Zimbabwe,,
rayyan-939278336,From distraction to habituation: Ecological and behavioural responses of invasive fish to anthropogenic noise,2021,"Rojas, E and Thevenin, S and Montes, G and Boyer, N and Medoc, V",data,Included,pumpkinseed sunfish and Chaoborus larvae,boat noises,-,"feeding rate, stress response",,,,
rayyan-939277998,Effect of angling intensity on feeding behaviour and community structure of subtropical reef-associated fishes,2016,"Colefax, AP and Haywood, MDE and Tibbetts, IR",data,Included,fish,angling,-,"behavioural response, feeding behaviour, community structure",,"Amity Point and Ballina, on the east coast of Australia",,
rayyan-939278082,Ranging behavior and habitat selection of pacas (Cuniculus paca) in central Belize,2017,"Gutierrez, SM and Harmsen, BJ and Doncaster, CP and Kay, E and Foster, RJ",data,maybe,paca,game hunting and natural predators,-,habitat selection,,Belize,,
rayyan-939276301,Escape from predators and genetic variance in birds,2017,"Jiang, Y and Møller, AP",data,maybe,128 bird species,approaching human,-,FID,,,,
rayyan-939280760,Escape behaviour in the leopard lizard (Gambelia wislizenii): effects of starting distance and sex,2016,"Jacobson, F and Garrison, G and Penner, J and Gebin, JZ and Eifler, M and Eifler, D",data,Included,long-nosed leopard lizard,approaching human,-,"flight behaviour (FID, FD)",,,,
rayyan-939276702,The hunting modes of human predation and potential nonconsumptive effects on animal populations,2022,"Montgomery, RA and Raupp, J and Miller, SA and Wijers, M and Lisowsky, R and Comar, A and Bugir, CK and Hayward, MW",review,Included,,,,,,,,
rayyan-939275901,Fearless distasteful butterflies and timid mimetic butterflies: Comparison of flight initiation distances in Papilioninae,2022,"Kojima, W",data,Included,swallowtail butterfly,approaching human,-,FID,,,,
rayyan-939280214,"Flight distance of urban birds, predation, and selection for urban life",2008,"Moller, AP",data,maybe,44 bird species,approaching human,-,flight distance,,,,
rayyan-939276182,An experimental test of predator detection rates using groups of free-living emus,2003,"Boland, CRJ",data,Included,emus,simple predator simulations (by humans),-,vigilance and foraging behaviour,,,,
rayyan-939276948,Should I stay or should I go? Determinants of immediate and delayed movement responses of female red deer (Cervus elaphus) to drive hunts,2020,"Chassagneux, A and Calenge, C and Marchand, P and Richard, E and Guillaumat, E and Baubet, E and Said, S",data,Included,red deer,hunting,-,flight response,,"National Estate of Chambord, France",,
rayyan-939275209,Direct Look from a Predator Shortens the Risk-Assessment Time by Prey,2013,"Lee, S-I and Hwang, S and Joe, Y-E and Cha, H-K and Joo, G-H and Lee, H-J and Kim, J-W and Jablonski, PG",data,Included,magpie,approaching human,-,flight decision during foraging,,,,
rayyan-939284365,Evaluating temporal and spatial margins of safety in galahs,2005,"Cardenas, YL and Shen, B and Zung, L and Blumstein, DT",data,Included,galahs,approaching human,-,flushing distances,,,,
rayyan-939285283,Are the big and beautiful less bold? Differences in avian fearfulness between the sexes in relation to body size and colour,2018,"Guay, PJ and Leppitt, R and Weston, MA and Yeager, TR and van Dongen, WFD and Symonds, MRE",data,Included,19 bird species,approaching human,-,FID,,,,
rayyan-939275272,Optimal escape theory predicts escape behaviors beyond flight initiation distance: Risk assessment and escape by striped plateau lizards Sceloporus virgatus,2009,"Cooper Jr, WE",data,Included,lizard,approaching human,-,FID,,,,
rayyan-939282215,A quantitative test of the 'economic' and 'optimal' models of escape behaviour,2014,"Lagos, PA and Ebensperger, LA and Herberstein, ME",data,Included,black field crickets,approaching human,-,FID while foraging,,,,
rayyan-939275537,Factors affecting intra- and inter-specific variations in the difference between alert distances and flight distances for birds in forested habitats,2002,"Fernández-Juricic, E and Jimenez, MD and Lucas, E",data,Included,4 bird species,approaching human,-,"FID while foraging, buffer distance",,,,
rayyan-939283618,Effects of culling on vigilance behaviour and endogenous stress response of female fallow deer,2016,"Pecorella, I and Ferretti, F and Sforzi, A and Macchi, E",data,Included,fallow deer,culling,-,"vigilance, foraging, stress response",,,,
rayyan-939277026,Responding to spatial and temporal variations in predation risk: space use of a game species in a changing landscape of fear,2009,"Tolon, V and Dray, S and Loison, A and Zeileis, A and Fischer, C and Baubet, E",data,Included,wild boar,hunting area,refuge area,"space use, activity patterns",,,,
rayyan-939280037,Factors affecting the vigilance and flight behaviour of impalas,2005,"Matson, TK and Goldizen, AW and Putland, DA",data,Included,impala,hunting pressure,-,vigilance and flight behaviour,,,,
rayyan-939281000,Individual-level behavioral responses of immature green turtles to snorkeler disturbance,2017,"Griffin, LP and Brownscombe, JW and Gagne, TO and Wilson, ADM and Cooke, SJ and Danylchuk, AJ",data,Included,green turtle,approaching snorkeler,-,FID,,,,
rayyan-939277552,Hunting affects dry season habitat selection by several bovid species in northern Benin,2014,"Djagoun, CAMS and Kassa, B and Djossa, BA and Coulson, T and Mensah, GA and Sinsin, B",data,Included,10 bovid species,hunting zones ,non hunting zones,habitat use,,"Pendjari Biosphere Reserve in Benin, west Africa",,
rayyan-939276738,Elk forage and risk tradeoffs during the fall archery season,2019,"Devoe, JD and Proffitt, KM and Mitchell, MS and Jourdonnais, CS and Barker, KJ",data,Included,elk,hunting pressure,-,"foraging patterns, habitat selection",,,,
rayyan-939276966,Age- and sex-dependent vigilance behaviour modifies social structure of hunted wild boar populations,2022,"Davidson, A and Shanas, U and Malkinson, D",data,Included,wild boar,hunting area,reserve,vigilance and social structure,,Israel,,
rayyan-939280603,American pikas' (Ochotona princeps) foraging response to hikers and sensitivity to heat in an alpine environment,2015,"Stafl, N and O'Connor, MI",data,Included,American pikas,hiking disturbance,-,"antipredator behaviour during foraging (alert distance, flight initiation distance, exit delay, delay in return to forage)",,"Mount Revelstoke and Glacier National Parks, British Columbia",,
rayyan-939280859,"Alert and flight initiation distances of crows in relation to the culling method, shooting or trapping",2020,"Fujioka, M",data,Included,large-billed crows,culling,-,FID,,"Iwate Prefecture, Japan",,
rayyan-939280140,Sperm whales reduce foraging effort during exposure to 1-2 kHz sonar and killer whale sounds,2016,"Isojunno, S and Cure, C and Kvadsheim, PH and Lam, FPA and Tyack, PL and Wensveen, PJ and Miller, PJO",data,Included,sperm whale,sonar from approaching vessel,killer whale sound (natural predator),time spent foraging,,,,
rayyan-939284379,"Flight initiation distance, color and camouflage",2019,"Moller, AP and Liang, W and Samia, DSM",data,Included,bird species,approaching human,-,FID,,,,
rayyan-939280827,"Alert time reflects the negative impacts of human disturbance on an endangered bird species in Changbai Mountain, China",2021,"Xu, WY and Gong, Y and Wang, HT",data,Included,scaly-sided merganser,human pressence,-,"FID, AD",,"Changbai Mountain, China",,
rayyan-939281965,Biological significance of sperm whale responses to sonar: comparison with anti-predator responses,2016,"Cure, C and Isojunno, S and Visser, F and Wensveen, PJ and Sivle, LD and Kvadsheim, PH and Lam, FPA and Miller, PJO",data,maybe,sperm whale,sonar ,killer whale sound ,behavioural response,,,,
rayyan-939276526,Foraging areas of black-browed and grey-headed albatrosses breeding on Macquarie Island in relation to marine protected areas,2006,"Terauds, A and Gales, R and Baker, GB and Alderman, R",data,maybe,black-browed and grey-headed albatrosses,marine protected area,-,foraging areas,,,,
rayyan-939277070,Responses of Eurasian woodcock Scolopax rusticola to simulated hunting disturbance,2013,"Ferrand, Y and Aubry, P and Landry, P and Priol, P",data,Included,Eurasian woodcock,"simulated hunting disturbance, hunting",no hunting disturbance,"space use, diel activity patterns",,,,
rayyan-939280676,Vigilance and fright behaviour in the insular Svalbard reindeer (Rangifer tarandus platyrhynchus),2011,"Reimers, E and Lund, S and Ergon, T",data,Included,Svalbard reindeer,human presence,-,"vigilance, FID, AD, escape distance",,,,
rayyan-939281413,Cooperative vigilance: The guanaco's (Lama guanicoe) key antipredator mechanism,2012,"Taraborelli, P and Gregorio, P and Moreno, P and Novaro, A and Carmanchahi, P",data,Included,guanaco,human presence,-,"buffer distance, alert distance",,,,
rayyan-939282204,Modelling short-term energetic costs of sonar disturbance to cetaceans using high-resolution foraging data,2021,"Czapanskiy, MF and Savoca, MS and Gough, WT and Segre, PS and Wisniewska, DM and Cade, DE and Goldbogen, JA",concept,Included,cetaceans,sonar disturbance,-,foraging,,,,
